COLOROID_SZINKOR_Y_70
BEGIN_DATA_FORMAT
Sample_Name	XYZ_X	XYZ_Y	XYZ_Z	Lab_L	Lab_a	Lab_b
END_DATA_FORMAT
BEGIN_DATA
Coloroid_ATV_10_52	60.094	70.000	22.732	86.997	-14.810	58.934
Coloroid_ATV_11_53	62.173	70.000	22.434	86.997	-9.918	59.454
Coloroid_ATV_12_54	64.267	70.000	22.202	86.997	-5.098	59.864
Coloroid_ATV_13_55	66.384	70.000	22.031	86.997	-0.331	60.167
Coloroid_ATV_15_54	70.489	70.000	24.756	86.997	8.629	55.511
Coloroid_ATV_16_53	72.434	70.000	26.653	86.997	12.755	52.472
Coloroid_ATV_20_52	74.334	70.000	28.596	86.997	16.714	49.501
Coloroid_ATV_21_45	75.112	70.000	35.984	86.997	18.315	39.305
Coloroid_ATV_22_40	75.868	70.000	41.433	86.997	19.862	32.651
Coloroid_ATV_23_36	76.511	70.000	45.884	86.997	21.168	27.636
Coloroid_ATV_24_35	77.986	70.000	47.902	86.997	24.139	25.470
Coloroid_ATV_26_29	79.153	70.000	55.402	86.997	26.462	17.912
Coloroid_ATV_30_27	79.751	70.000	58.713	86.997	27.644	14.793
Coloroid_ATV_31_25	79.648	70.000	62.583	86.997	27.440	11.292
Coloroid_ATV_32_24	77.244	70.000	67.832	86.997	22.649	6.767
Coloroid_ATV_33_24	77.035	70.000	70.813	86.997	22.227	4.301
Coloroid_ATV_34_23	76.297	70.000	75.301	86.997	20.735	0.715
Coloroid_ATV_35_22	75.640	70.000	78.658	86.997	19.396	-1.875
Coloroid_ATV_40_21	75.036	70.000	81.251	86.997	18.159	-3.826
Coloroid_ATV_41_21	74.858	70.000	83.778	86.997	17.794	-5.687
Coloroid_ATV_42_21	74.678	70.000	86.335	86.997	17.424	-7.533
Coloroid_ATV_43_21	74.481	70.000	89.136	86.997	17.018	-9.514
Coloroid_ATV_44_21	74.267	70.000	92.193	86.997	16.575	-11.629
Coloroid_ATV_45_20	73.663	70.000	94.783	86.997	15.323	-13.384
Coloroid_ATV_46_18	72.500	70.000	99.330	86.997	12.893	-16.390
Coloroid_ATV_50_18	71.934	70.000	107.371	86.997	11.703	-21.489
Coloroid_ATV_51_19	68.966	70.000	100.140	86.997	5.347	-16.916
Coloroid_ATV_52_21	67.129	70.000	95.012	86.997	1.321	-13.538
Coloroid_ATV_53_28	65.783	70.000	95.712	86.997	-1.674	-14.006
Coloroid_ATV_54_35	64.284	70.000	95.947	86.997	-5.060	-14.163
Coloroid_ATV_55_41	62.681	70.000	95.160	86.997	-8.738	-13.637
Coloroid_ATV_56_40	61.250	70.000	89.760	86.997	-12.076	-9.949
Coloroid_ATV_60_41	59.542	70.000	85.460	86.997	-16.129	-6.906
Coloroid_ATV_61_42	58.095	70.000	82.308	86.997	-19.622	-4.609
Coloroid_ATV_62_41	56.901	70.000	78.798	86.997	-22.550	-1.982
Coloroid_ATV_63_38	55.930	70.000	74.948	86.997	-24.961	0.992
Coloroid_ATV_64_35	54.432	70.000	70.595	86.997	-28.735	4.479
Coloroid_ATV_65_30	52.876	70.000	65.316	86.997	-32.729	8.906
Coloroid_ATV_66_25	51.157	70.000	58.605	86.997	-37.236	14.893
Coloroid_ATV_70_24	51.215	70.000	52.666	86.997	-37.082	20.585
Coloroid_ATV_71_27	52.060	70.000	47.370	86.997	-34.856	26.034
Coloroid_ATV_72_35	51.737	70.000	38.301	86.997	-35.704	36.399
Coloroid_ATV_73_40	53.045	70.000	33.108	86.997	-32.292	43.092
Coloroid_ATV_74_45	54.441	70.000	28.234	86.997	-28.712	50.044
Coloroid_ATV_75_48	56.271	70.000	25.628	86.997	-24.111	54.095
Coloroid_ATV_76_50	58.192	70.000	24.143	86.997	-19.387	56.529
Coloroid_ATV_76_50	58.192	70.000	24.143	86.997	-19.387	56.529
Coloroid_ATV_76_50	58.192	70.000	24.143	86.997	-19.387	56.529
END_DATA
