10	18	50	95
11	20	50	93
12	20	50	93
13	20	49	92
14	18	48	91
15	17	45	89
16	15	45	89
20	13	45	88		
21	11	45	88
22	10	40	88
23	10	40	88
24	10	40	88
25	9	40	88
26	9	37	88
30	8	35	88
31	8	35	86
32	9	35	85
33	10	32	85
34	12	32	86
35	12  	32	86
40	12	32	86
41	12	32	86
42	12	32	85
43	11	32	85
44	11	32	85
45	10	32	85
46	8	30	82
50	8	28	80
51	10	32	82
52	10	34	85
53	13	35	85
54	15	36	86
55	15	36	87
56	15	36	88
60	18	38	90
61	18	38	91
62	16	40	92
63	14	40	92
64	13	42	92
65	11	42	93
66	9	42	93
70	6	42	93
71	6	42	93
72	9	42	93
73	10	43	93
74	11	46	93
75	13	46	94
76	15	48	93
