
	49	84	141	 52	 20	 35
	250	196	107	 15	 45	 80
	187	140	143	 32	 11	 60
	98	131	138	 56	 15	 50
	184	83	60	 26	 18	 45
	74	112	176	 52	 29	 45
	2	112	101	 62	 20	 40
	126	139	167	 52	 14	 55
	138	152	184	 52	 17	 60
	150	165	199	 52	 20	 65
	162	178	215	 52	 23	 70
	111	125	157	 52	 14	 50
	123	139	173	 52	 17	 55
	135	152	189	 52	 20	 60
	147	165	204	 52	 23	 65
	95	112	146	 52	 14	 45
	107	125	163	 52	 17	 50
	120	139	178	 52	 20	 55
	132	152	194	 52	 23	 60
	79	98	136	 52	 14	 40
	91	112	153	 52	 17	 45
	104	125	168	 52	 20	 50
	117	139	184	 52	 23	 55
	61	84	126	 52	 14	 35
	74	98	143	 52	 17	 40
	87	112	159	 52	 20	 45
	101	126	174	 52	 23	 50
	148	170	166	 62	 10	 65
	154	184	180	 62	 15	 70
	176	211	206	 62	 20	 80
	184	225	219	 62	 25	 85
	133	157	153	 62	 10	 60
	139	172	167	 62	 15	 65
	145	186	180	 62	 20	 70
	169	213	206	 62	 25	 80
	101	131	126	 62	 10	 50
	123	159	153	 62	 15	 60
	129	174	167	 62	 20	 65
	136	188	181	 62	 25	 70
	65	105	99	 62	 10	 40
	87	134	127	 62	 15	 50
	111	162	154	 62	 20	 60
	118	176	168	 62	 25	 65
	12	80	72	 62	 10	 30
	41	109	100	 62	 15	 40
	70	137	128	 62	 20	 50
	98	164	155	 62	 25	 60
	174	146	142	 26	  6	 60
	197	155	149	 26	 10	 65
	219	166	158	 26	 14	 70
	239	176	167	 26	 18	 75
	162	132	127	 26	  6	 55
	187	141	134	 26	 10	 60
	222	146	134	 26	 19	 65
	229	162	151	 26	 18	 70
	151	117	112	 26	  6	 50
	176	127	119	 26	 10	 55
	199	137	127	 26	 14	 60
	220	147	135	 26	 18	 65
	140	103	97	 26	  6	 45
	166	112	103	 26	 10	 50
	189	122	110	 26	 14	 55
	210	132	119	 26	 18	 60
	129	88	81	 26	  6	 40
	156	97	86	 26	 10	 45
	179	106	93	 26	 14	 50
	201	117	101	 26	 18	 55
	138	155	159	 56	 10	 60
	160	182	188	 56	 15	 70
	184	209	215	 56	 20	 80
	193	222	230	 56	 25	 85
	108	129	134	 56	 10	 50
	130	156	163	 56	 15	 60
	154	183	191	 56	 20	 70
	178	210	218	 56	 25	 80
	74	102	109	 56	 10	 40
	98	131	138	 56	 15	 50
	122	158	166	 56	 20	 60
	147	185	194	 56	 25	 70
	33	76	85	 56	 10	 30
	60	105	114	 56	 15	 40
	87	132	143	 56	 20	 50
	114	159	170	 56	 25	 60
	0	50	62	 56	 10	 20
	1	79	91	 56	 15	 30
	41	107	119	 56	 20	 40
	75	134	147	 56	 25	 50
	214	172	107	 15	 30	 70
	230	184	114	 15	 35	 75
	245	197	122	 15	 40	 80
	255	222	151	 15	 45	 90
	203	158	83	 15	 30	 65
	219	171	90	 15	 35	 70
	235	183	98	 15	 40	 75
	255	209	130	 15	 45	 85
	183	130	2	 15	 30	 55
	209	157	60	 15	 35	 65
	225	170	69	 15	 40	 70
	240	182	79	 15	 45	 75
	173	116	0	 15	 30	 50
	189	129	0	 15	 35	 55
	215	156	24	 15	 40	 65
	230	168	39	 15	 45	 70
	164	101	0	 15	 30	 45
	180	114	0	 15	 35	 50
	195	127	0	 15	 40	 55
	220	155	0	 15	 45	 65
	167	129	132	 32	  8	 55
	187	140	143	 32	 11	 60
	206	152	155	 32	 14	 65
	223	163	167	 32	 17	 70
	156	115	117	 32	  8	 50
	176	126	129	 32	 11	 55
	195	137	141	 32	 14	 60
	213	149	153	 32	 17	 65
	145	100	103	 32	  8	 45
	166	111	114	 32	 11	 50
	185	122	126	 32	 14	 55
	203	134	138	 32	 17	 60
	135	84	88	 32	  8	 40
	156	95	99	 32	 11	 45
	176	107	111	 32	 14	 50
	194	118	123	 32	 17	 55
	126	68	72	 32	  8	 35
	147	79	84	 32	 11	 40
	166	90	96	 32	 14	 45
	185	102	108	 32	 17	 50
	205	142	0	 15	 40	 60
	225	153	0	 15	 50	 65
	123	163	109	 72	 14	 60
	2	112	101	 62	 20	 40
	0	89	65	 63	 17	 30
	3	56	118	 52	 17	 25
	156	111	148	 43	 14	 50
	183	138	175	 43	 17	 60
	209	165	201	 43	 20	 70
	235	191	227	 43	 23	 80
	145	96	137	 43	 14	 45
	162	108	153	 43	 17	 50
	188	136	179	 43	 20	 60
	214	163	205	 43	 23	 70
	135	79	126	 43	 14	 40
	151	92	142	 43	 17	 45
	167	105	157	 43	 20	 50
	193	133	183	 43	 23	 60
	125	62	116	 43	 14	 35
	142	75	131	 43	 17	 40
	157	88	146	 43	 20	 45
	173	102	161	 43	 23	 50
	116	42	106	 43	 14	 30
	133	56	121	 43	 17	 35
	148	70	136	 43	 20	 40
	163	84	151	 43	 23	 45
	128	161	116	 72	 12	 60
	155	187	144	 72	 14	 70
	181	213	171	 72	 16	 80
	193	227	182	 72	 18	 85
	111	149	98	 72	 12	 55
	123	163	109	 72	 14	 60
	151	189	139	 72	 16	 70
	178	214	166	 72	 18	 80
	94	136	78	 72	 12	 50
	106	150	90	 72	 14	 55
	119	164	102	 72	 16	 60
	147	190	133	 72	 18	 70
	75	124	55	 72	 12	 45
	88	138	68	 72	 14	 50
	101	152	81	 72	 16	 55
	114	166	94	 72	 18	 60
	54	112	23	 72	 12	 40
	68	126	40	 72	 14	 45
	82	140	56	 72	 16	 50
