 A = 51 COLOROID LAP
 BEGIN_DATA_FORMAT
 Sample_Name XYZ_X XYZ_Y XYZ_Z Lab_L Lab_a Lab_b
 END_DATA_FORMAT
 BEGIN_DATA
 Coloroid_ATV_51_75_75	 63.07	 56.25	155.68	 79.76	 23.37	-60.22
 Coloroid_ATV_51_85_75	 64.35	 56.25	168.27	 79.76	 26.30	-66.13
 Coloroid_ATV_51_95_75	 65.63	 56.25	180.86	 79.76	 29.19	-71.76
 Coloroid_ATV_51_ 5_85	 69.31	 72.25	 84.96	 88.09	  1.39	 -4.66
 Coloroid_ATV_51_15_85	 70.59	 72.25	 97.55	 88.09	  4.15	-13.34
 Coloroid_ATV_51_25_85	 71.87	 72.25	110.14	 88.09	  6.87	-21.31
 Coloroid_ATV_51_35_85	 73.15	 72.25	122.73	 88.09	  9.56	-28.68
 Coloroid_ATV_51_45_85	 74.43	 72.25	135.33	 88.09	 12.21	-35.57
 Coloroid_ATV_51_55_85	 75.72	 72.25	147.92	 88.09	 14.84	-42.04
 Coloroid_ATV_51_65_85	 77.00	 72.25	160.51	 88.09	 17.44	-48.16
 Coloroid_ATV_51_75_85	 78.28	 72.25	173.10	 88.09	 20.01	-53.96
 Coloroid_ATV_51_85_85	 79.56	 72.25	185.69	 88.09	 22.55	-59.49
 Coloroid_ATV_51_95_85	 80.84	 72.25	198.28	 88.09	 25.07	-64.77
 Coloroid_ATV_51_ 5_95	 86.42	 90.25	104.56	 96.10	  1.20	 -4.04
 Coloroid_ATV_51_15_95	 87.70	 90.25	117.15	 96.10	  3.58	-11.66
 Coloroid_ATV_51_25_95	 88.98	 90.25	129.74	 96.10	  5.94	-18.76
 Coloroid_ATV_51_35_95	 90.26	 90.25	142.33	 96.10	  8.27	-25.41
 Coloroid_ATV_51_45_95	 91.54	 90.25	154.92	 96.10	 10.59	-31.67
 Coloroid_ATV_51_55_95	 92.82	 90.25	167.51	 96.10	 12.88	-37.61
 Coloroid_ATV_51_65_95	 94.10	 90.25	180.11	 96.10	 15.15	-43.25
 Coloroid_ATV_51_75_95	 95.38	 90.25	192.70	 96.10	 17.40	-48.64
 Coloroid_ATV_51_85_95	 96.67	 90.25	205.29	 96.10	 19.63	-53.80
 Coloroid_ATV_51_95_95	 97.95	 90.25	217.88	 96.10	 21.84	-58.75
 END_DATA
